date,btc,usd,source
2025-06-01,1210.93,127935723,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 28.7%"
2025-06-15,1533.2,161887828,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 30.7%"
2025-06-23,1329,140000000,"DISCLOSED USD: OAK Research 2025-06-23 ""$140M in assets under management"" https://oakresearch.io/en/analyses/fundamentals/maple-bitcoin-yield-presentation-comparison-outlook (BTC derived)"
2025-06-30,1680,180000000,"DISCLOSED USD: Maple Q2 2025 market update ""reaching over $180M in AUM"" (published 2025-07-24) https://maple.finance/insights/q2-2025-maple-market-update (BTC derived)"
2025-07-01,1396.18,147547325,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 27.5%"
2025-07-07,1500,140000000,"DISCLOSED: bitcoin.com 2025-07-07 ""over 1,500 BTC allocated through H1 2025"", AUM $140M https://news.bitcoin.com/maple-finance-delivers-5-13-native-bitcoin-yield-with-institutional-grade-security/"
2025-07-15,1483.46,174662729,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 29.5%"
2025-08-01,1484.58,168197570,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 28.9%"
2025-08-15,1484.58,174200023,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 29.7%"
2025-09-01,1485.29,162252783,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 30.1%"
2025-09-15,1485.29,171338450,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 28.6%"
2025-10-01,1341.03,159024702,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 28.7%"
2025-10-14,1341.03,151587886,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 25.8%"
2025-10-15,756.98,83831826,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 16.4%"
2025-10-15,1341.03,148512501,"PROGRAM BTC (on-chain, Bitcoin+Core): 756.98 BTC still staked + 463.06 BTC in matured-but-unspent CLTV outputs (not re-staked) + 120.99 BTC withdrawn to bc1q0vued... on 10-15; scripts/btc_outspends.py"
2025-11-01,756.98,83337669,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 18.0%"
2025-11-15,756.98,72370770,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 18.7%"
2025-11-18,756.98,70372040,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 18.7%"
2025-11-19,,150000000,"CLAIMED (counterparty): Core Foundation statement ""Maple brought over $150m of Bitcoin"" (cumulative, not point-in-time) https://x.com/Coredao_Org/status/1991171121534636264"
2025-11-19,0.0,0,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 0.0%"
2025-11-19,1333.78,122119296,"ON-CHAIN (Bitcoin): all remaining CLTV outputs swept on 2025-11-19 into hub bc1pm9v0y2...c0pc4 (963.72+165.40+204.64 BTC); scripts/btc_outspends.py, btc_hub_trace.py via mempool.space"
2025-11-30,283.31,25597710,"ON-CHAIN (Bitcoin): 1,050.47 BTC paid out of hub in Nov-2025 (incl. 200.09 BTC holdback moved to separate wallet) -> remaining in hub; scripts/btc_hub_trace.py"
2025-12-01,0.0,0,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 0.0%"
2025-12-31,200.09,17536548,"ON-CHAIN (Bitcoin): 1,133.69 BTC (85.0%) paid to 66 addresses Nov-2025..Aug-2026; 200.09 BTC (15.0%) held in bc1pdcj7.../bc1pyed82... (matches Maple 2025-11-21 statement: return 85%, retain 15%)"
2026-06-05,0,0,ON-CHAIN (Bitcoin): 200.0 BTC holdback sent 2026-06-05 (14 days after the 2026-05-22 settlement) via bc1q9tfmg8... to bc1q5zly2... (owner not public); hub emptied 2026-08-10
2026-09-21,0,0,"CURRENT: 0 BTC staked on Core by attributed addresses (rpc.coredao.org / stake.coredao.org candidate API); Maple API poolMeta 67e542004191822941f9e703 state=""Hidden""; product page 404; no syrupBTC token or pool found"
