product_already_counted,protocol,btc,method,confidence,month,group,segment,slug,chain,in_column,note
Kraken Bitcoin Vault [C1],Morpho Blue,90.01,"on-chain: Morpho WBTC/USDT position (loan manager 0x5EE1..f884), same block",high,2026-09,B,money_market,morpho-blue,Ethereum,btc_total,WBTC collateral
Midas mHyperBTC [C1],Aave V3,1.3643,on-chain aEthWBTC balance (data/top5/mhyperbtc/positions.csv),high,2026-09,B,money_market,aave-v3,Ethereum,btc_total,idle collateral
Midas mHyperBTC [C1],Euler V2,69.4233,"RPC convertToAssets, Hyperithm Earn cbBTC (EVK ecbBTC-4/-6), read 2026-09-22 (data/top5/mhyperbtc/positions.csv)",medium,2026-09,B,money_market,euler-v2,Monad,btc_borrowed,"lent cbBTC; the EVK vault is ~94% utilised, so almost all sits in Euler borrowed"
Midas mHyperBTC [C1],Morpho Blue,126.0002,"on-chain Morpho position() of strategy wallet 0x933a..2833, cbBTC/USDT (data/top5/mhyperbtc/positions.csv)",high,2026-09,B,money_market,morpho-blue,Ethereum,btc_total,collateral
Midas mHyperBTC [C1],Morpho Blue,35.0545,"RPC convertToAssets of Morpho V2 Hyperithm cbBTC Apex share (42% of the vault), read 2026-09-22 (data/top5/mhyperbtc/positions.csv)",medium,2026-09,B,money_market,morpho-blue,Monad,btc_borrowed,lent cbBTC into mHyperBTC/cbBTC and aHyperBTC/cbBTC markets (~93% utilised)
Midas mHyperBTC [C1],SparkLend,113.416,on-chain spcbBTC balance / getUserAccountData (data/top5/mhyperbtc/positions.csv),high,2026-09,B,money_market,sparklend,Ethereum,btc_total,collateral (Spark cbBTC 3% utilised)
"Moonwell vaults (cbBTC) [C6, lend-only]",Morpho Blue,5.36,Morpho API 09-23: Moonwell Frontier cbBTC allocation (idle market 5.36 + LBTC/cbBTC 8.11),medium,2026-09,B,money_market,morpho-blue,Base,btc_total,idle-market supply
"Moonwell vaults (cbBTC) [C6, lend-only]",Morpho Blue,8.5,same vault: LBTC/cbBTC market supply (map row 13.86 - 5.36),medium,2026-09,B,money_market,morpho-blue,Base,btc_borrowed,lent
"Superform (BTC) [C6, lend-only]",morpho-blue/euler-v2/aave,11.64,ASSUMED: SuperVaults allocate to lending vaults; venue split not measured,low,2026-09,B,money_market,morpho-blue/euler-v2/aave,Ethereum/Base,btc_borrowed,upper bound = the map row
Upshift (BTC vaults) [C6],Aave V4,41.03,"on-chain: Upshift Gamma BTC via operator EOA 0x8e0a..8731, Aave v4 spoke 0x94e7..c485, carry scan 09-21",medium,2026-09,B,money_market,aave-v4,Ethereum,btc_total,WBTC collateral
Upshift (BTC vaults) [C6],Morpho Blue,46.68,"on-chain: Upshift Sentora BTC loan contracts 0x37aD..754E (28.37) and 0xE504..183E (18.32), Morpho API 09-23 / carry scan 09-21",high,2026-09,B,money_market,morpho-blue,Ethereum,btc_total,WBTC collateral (also = the Sentora curator WBTC vault)
"Vesper (WBTC) [C6, lend-only]",aave-v3/compound,4.89,ASSUMED: Vesper pools lend WBTC on money markets; not measured,low,2026-09,B,money_market,aave-v3/compound,Ethereum,btc_total,upper bound = the map row
"Yearn (BTC vaults) [C6, lend-only]",Morpho Blue,38.95,"Morpho API 09-23: Yearn WBTC MetaMorpho 0x2bB0..B77E (47.51; depositor = Yearn v3 WBTC vault, which the v2 yVault routes into)",medium,2026-09,B,money_market,morpho-blue,Ethereum,btc_total,idle-market supply
"Yearn (BTC vaults) [C6, lend-only]",Morpho Blue,8.56,same vault: 8.56 WBTC supplied to the LBTC/WBTC market,medium,2026-09,B,money_market,morpho-blue,Ethereum,btc_borrowed,lent
"Yearn (BTC vaults) [C6, lend-only]",Morpho Blue,14.16,"on-chain: Yearn Katana WBTC yVault strategy 0x0432..8d43, Morpho vbWBTC/vbUSDC (Morpho API 09-23)",high,2026-09,B,money_market,morpho-blue,Katana,btc_total,vbWBTC collateral
ether.fi Liquid BTC [C1],SparkLend,153.1,on-chain month-end positions (data/top5/etherfi/positions_monthly.csv),high,2026-09,B,money_market,sparklend,Ethereum,btc_total,WBTC collateral
ether.fi Liquid BTC [C1],SparkLend,54.8,on-chain month-end positions (data/top5/etherfi/positions_monthly.csv),high,2026-09,B,money_market,sparklend,Ethereum,btc_total,cbBTC collateral
Bitget bgBTC Onchain Earn [C1],Morpho Blue,801.5218,DefiLlama Morpho (Morph) BGBTC = the Aera vault position (on-chain 801.58 bgBTC at 09-20 12:00); DefiLlama tracks Morph only from 2026-08-19,high,2026-08,B,money_market,morpho-blue,Morph,btc_total,"the vault held 60-500 bgBTC on Morph in 2026-07, before DefiLlama tracked the chain (not in the money-market totals then)"
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,0.5259,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2024-12,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,0.5278,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2025-01,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,0.5297,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2025-02,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,0.1327,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2025-03,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,3.6366,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2025-04,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,9.5056,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2025-05,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,9.101,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2025-06,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,20.0412,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2025-07,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,13.0674,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2025-08,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,34.345,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2025-09,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,58.796,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2025-10,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,13.814,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2025-11,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,8.4358,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2025-12,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,18.1916,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2026-01,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,90.8935,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2026-02,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,88.8289,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2026-03,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,12.3027,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2026-04,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,33.0602,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2026-05,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,50.9969,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2026-06,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,54.0394,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2026-07,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",aave-v3/morpho-blue/sparklend,62.7567,ESTIMATE: map monthly BTC of the three IPOR rows x the 09-20 money-market share (0.948),low,2026-08,B,money_market,aave-v3/morpho-blue/sparklend,Ethereum/Base,btc_total,
Kraken Bitcoin Vault [C1],Morpho Blue,977.92,"on-chain weekly reads (Monday 00:00 UTC, ltv_weekly.csv) interpolated to the month-end point",medium,2026-05,B,money_market,morpho-blue,Ethereum,btc_total,kBTC collateral
Kraken Bitcoin Vault [C1],Aave V3,11.5857,on-chain weekly reads interpolated to the month-end point,medium,2026-06,B,money_market,aave-v3,Ethereum,btc_total,WBTC collateral
Kraken Bitcoin Vault [C1],Morpho Blue,3794.1271,"on-chain weekly reads (Monday 00:00 UTC, ltv_weekly.csv) interpolated to the month-end point",medium,2026-06,B,money_market,morpho-blue,Ethereum,btc_total,kBTC collateral
Kraken Bitcoin Vault [C1],Aave V3,319.14,on-chain weekly reads interpolated to the month-end point,medium,2026-07,B,money_market,aave-v3,Ethereum,btc_total,WBTC collateral
Kraken Bitcoin Vault [C1],Morpho Blue,4682.4757,"on-chain weekly reads (Monday 00:00 UTC, ltv_weekly.csv) interpolated to the month-end point",medium,2026-07,B,money_market,morpho-blue,Ethereum,btc_total,kBTC collateral
Kraken Bitcoin Vault [C1],Aave V3,346.76,on-chain weekly reads interpolated to the month-end point,medium,2026-08,B,money_market,aave-v3,Ethereum,btc_total,WBTC collateral
Kraken Bitcoin Vault [C1],Morpho Blue,4929.1343,"on-chain weekly reads (Monday 00:00 UTC, ltv_weekly.csv) interpolated to the month-end point",medium,2026-08,B,money_market,morpho-blue,Ethereum,btc_total,kBTC collateral
"Moonwell vaults (cbBTC) [C6, lend-only]",Morpho Blue,162.113,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2025-04,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Moonwell vaults (cbBTC) [C6, lend-only]",Morpho Blue,162.714,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2025-05,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Moonwell vaults (cbBTC) [C6, lend-only]",Morpho Blue,114.229,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2025-06,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Moonwell vaults (cbBTC) [C6, lend-only]",Morpho Blue,184.528,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2025-07,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Moonwell vaults (cbBTC) [C6, lend-only]",Morpho Blue,205.363,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2025-08,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Moonwell vaults (cbBTC) [C6, lend-only]",Morpho Blue,141.3,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2025-09,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Moonwell vaults (cbBTC) [C6, lend-only]",Morpho Blue,87.984,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2025-10,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Moonwell vaults (cbBTC) [C6, lend-only]",Morpho Blue,67.417,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2025-11,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Moonwell vaults (cbBTC) [C6, lend-only]",Morpho Blue,77.128,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2025-12,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Moonwell vaults (cbBTC) [C6, lend-only]",Morpho Blue,64.886,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2026-01,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Moonwell vaults (cbBTC) [C6, lend-only]",Morpho Blue,47.745,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2026-02,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Moonwell vaults (cbBTC) [C6, lend-only]",Morpho Blue,57.824,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2026-03,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Moonwell vaults (cbBTC) [C6, lend-only]",Morpho Blue,30.662,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2026-04,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Moonwell vaults (cbBTC) [C6, lend-only]",Morpho Blue,17.853,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2026-05,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Moonwell vaults (cbBTC) [C6, lend-only]",Morpho Blue,30.573,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2026-06,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Moonwell vaults (cbBTC) [C6, lend-only]",Morpho Blue,33.129,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2026-07,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Moonwell vaults (cbBTC) [C6, lend-only]",Morpho Blue,8.566,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2026-08,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Seamless vaults (cbBTC) [C6, history]",Morpho Blue,214.447,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2025-04,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Seamless vaults (cbBTC) [C6, history]",Morpho Blue,199.677,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2025-05,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Seamless vaults (cbBTC) [C6, history]",Morpho Blue,209.898,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2025-06,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Seamless vaults (cbBTC) [C6, history]",Morpho Blue,46.159,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2025-07,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Seamless vaults (cbBTC) [C6, history]",Morpho Blue,35.102,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2025-08,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Seamless vaults (cbBTC) [C6, history]",Morpho Blue,27.794,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2025-09,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Seamless vaults (cbBTC) [C6, history]",Morpho Blue,23.652,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2025-10,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Seamless vaults (cbBTC) [C6, history]",Morpho Blue,25.928,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2025-11,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Seamless vaults (cbBTC) [C6, history]",Morpho Blue,18.277,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2025-12,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Seamless vaults (cbBTC) [C6, history]",Morpho Blue,11.75,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2026-01,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Seamless vaults (cbBTC) [C6, history]",Morpho Blue,23.02,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2026-02,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Seamless vaults (cbBTC) [C6, history]",Morpho Blue,10.552,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2026-03,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Seamless vaults (cbBTC) [C6, history]",Morpho Blue,5.705,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2026-04,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Seamless vaults (cbBTC) [C6, history]",Morpho Blue,1.71,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2026-05,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Seamless vaults (cbBTC) [C6, history]",Morpho Blue,1.677,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2026-06,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Seamless vaults (cbBTC) [C6, history]",Morpho Blue,1.638,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2026-07,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
"Seamless vaults (cbBTC) [C6, history]",Morpho Blue,1.614,"map monthly BTC of the row: MetaMorpho cbBTC vaults on Base, all of it supplied to Morpho (split between idle and lent not measured)",medium,2026-08,B,money_market,morpho-blue,Base,btc_total/btc_borrowed,
ether.fi Liquid BTC [C1],Morpho Blue,70.0,on-chain month-end positions (data/top5/etherfi/positions_monthly.csv),high,2025-01,B,money_market,morpho-blue,Ethereum,btc_total,WBTC collateral
ether.fi Liquid BTC [C1],Aave V3,87.0,on-chain month-end positions (data/top5/etherfi/positions_monthly.csv),high,2025-02,B,money_market,aave-v3,Ethereum,btc_total,WBTC collateral
ether.fi Liquid BTC [C1],Morpho Blue,110.0,on-chain month-end positions (data/top5/etherfi/positions_monthly.csv),high,2025-02,B,money_market,morpho-blue,Ethereum,btc_total,WBTC collateral
ether.fi Liquid BTC [C1],Aave V3,10.9,on-chain month-end positions (data/top5/etherfi/positions_monthly.csv),high,2025-03,B,money_market,aave-v3,Ethereum,btc_total,cbBTC collateral
ether.fi Liquid BTC [C1],Morpho Blue,108.5,on-chain month-end positions (data/top5/etherfi/positions_monthly.csv),high,2025-03,B,money_market,morpho-blue,Ethereum,btc_total,WBTC collateral
ether.fi Liquid BTC [C1],Aave V3,51.0,on-chain month-end positions (data/top5/etherfi/positions_monthly.csv),high,2026-01,B,money_market,aave-v3,Ethereum,btc_total,WBTC collateral
ether.fi Liquid BTC [C1],Aave V3,51.0,on-chain month-end positions (data/top5/etherfi/positions_monthly.csv),high,2026-02,B,money_market,aave-v3,Ethereum,btc_total,WBTC collateral
ether.fi Liquid BTC [C1],Aave V3,51.0,on-chain month-end positions (data/top5/etherfi/positions_monthly.csv),high,2026-03,B,money_market,aave-v3,Ethereum,btc_total,WBTC collateral
ether.fi Liquid BTC [C1],Aave V3,7.2,on-chain month-end positions (data/top5/etherfi/positions_monthly.csv),high,2026-03,B,money_market,aave-v3,Ethereum,btc_total,cbBTC collateral
ether.fi Liquid BTC [C1],Aave V3,7.2,on-chain month-end positions (data/top5/etherfi/positions_monthly.csv),high,2026-04,B,money_market,aave-v3,Ethereum,btc_total,cbBTC collateral
ether.fi Liquid BTC [C1],SparkLend,29.8,on-chain month-end positions (data/top5/etherfi/positions_monthly.csv),high,2026-08,B,money_market,sparklend,Ethereum,btc_total,cbBTC collateral
Accountable (Hyperithm vault share),Euler V2,106.8928,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-09,A,money_market,euler-v2,Monad,btc_total,
Accountable (Hyperithm vault share),Morpho Blue,97.852,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-09,A,money_market,morpho-blue,Monad,btc_total,
Avant avBTC,Silo V2,20.3531,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-09,A,money_market,silo-v2,Avalanche,btc_total,
Bedrock uniBTC,Avalon Finance,0.0016,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-09,A,money_market,avalon-finance,Binance,btc_total,
Bedrock uniBTC,Avalon Finance,0.001,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-09,A,money_market,avalon-finance,IoTeX,btc_total,
Bedrock uniBTC,Avalon Finance,0.0011,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-09,A,money_market,avalon-finance,Merlin,btc_total,
Bedrock uniBTC,Avalon Finance,0.001,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-09,A,money_market,avalon-finance,Mode,btc_total,
Bedrock uniBTC,Beraborrow,0.0754,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-09,A,cdp,beraborrow,Berachain,btc_total,
Bedrock uniBTC,Dolomite,0.0019,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-09,A,money_market,dolomite,Arbitrum,btc_total,
