segment,protocol,slug,btc_supplied,btc_plain,btc_yieldbearing,btc_lent_out,btc_in_counted_products,btc_counted,supply_apy,how,url
money_market,TownSquare Lending,townsquare-lending,951.6574,951.6574,0.0,0.0,0,951.6574,<0.01,"BTC supplied to TownSquare Lending on Monad (enzoBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/townsquare-lending
money_market,NAVI Lending,navi-lending,843.4201,808.4866,34.9335,130.0049,0,808.4866,<0.01,"BTC supplied to NAVI Lending on Sui (enzoBTC, MBTC, WBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/navi-lending
money_market,Fluid Lending,fluid-lending,812.9552,776.2664,36.6888,175.6293,0,776.2664,0.09,"BTC supplied to Fluid Lending on Arbitrum, Base, Ethereum, Polygon (WBTC, cbBTC, tBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/fluid-lending
money_market,Takara Lend,takara-lend,544.5816,544.5816,0.0,0.0,0,544.5816,<0.01,"BTC supplied to Takara Lend on Sei (enzoBTC, UBTC, M-BTC), almost all of it as collateral for loans.",https://defillama.com/protocol/takara-lend
money_market,Aave V2,aave-v2,420.0554,420.0554,0.0,2.9717,0,420.0554,about 0,"BTC supplied to Aave V2 on Avalanche, Ethereum, Polygon (WBTC, WBTC.e, WBTC/WETH UNI-V2), almost all of it as collateral for loans.",https://defillama.com/protocol/aave-v2
money_market,Compound V2,compound-v2,290.018,290.018,0.0,0.7724,0,290.018,<0.01,"BTC supplied to Compound V2 on Ethereum (WBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/compound-v2
money_market,Jupiter Lend,jupiter-lend,274.0856,237.2786,36.807,7.588,0,237.2786,<0.01,"BTC supplied to Jupiter Lend on Solana (cbBTC, xBTC, WBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/jupiter-lend
money_market,Templar,templar-protocol,201.1456,201.1456,0.0,0.0,0,201.1456,about 0,"BTC supplied to Templar on Bitcoin, Ethereum (WBTC, BTC, HEMIBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/templar-protocol
money_market,HyperLend Pooled,hyperlend-pooled,137.6291,137.6291,0.0,28.7403,0,137.6291,0.16,"BTC supplied to HyperLend Pooled on Hyperliquid, L1 (UBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/hyperlend-pooled
money_market,Suilend,suilend,162.8348,122.7551,40.0797,24.3214,0,122.7551,about 0,"BTC supplied to Suilend on Sui (WBTC, xBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/suilend
money_market,Alpaca Finance 2.0,alpaca-finance-2.0,120.2524,120.2524,0.0,0.0101,0,120.2524,about 0,"BTC supplied to Alpaca Finance 2.0 on Binance (BTCB), almost all of it as collateral for loans.",https://defillama.com/protocol/alpaca-finance-2.0
money_market,AlphaFi Lending,alphafi-lending,104.2512,102.4207,1.8305,98.2912,0,102.4207,about 0,"BTC supplied to AlphaFi Lending on Sui (WBTC, tBTC, xBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/alphafi-lending
money_market,Tectonic,tectonic,93.0353,93.0353,0.0,0.0,0,93.0353,<0.01,"BTC supplied to Tectonic on Cronos (WBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/tectonic
money_market,Benqi Lending,benqi-lending,85.7554,85.7554,0.0,170.8238,0,85.7554,1.22,"BTC supplied to Benqi Lending on Avalanche (BTC.b, WBTC.e, SolvBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/benqi-lending
money_market,Vesu,vesu,82.8352,82.8352,0.0,6.5919,0,82.8352,about 0,"BTC supplied to Vesu on Starknet (WBTC, SolvBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/vesu
money_market,Vires Finance,vires-finance,72.8946,72.8946,0.0,0.0483,0,72.8946,about 0,"BTC supplied to Vires Finance on Waves (BTC, WBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/vires-finance
money_market,Echo Lending,echo-lending,72.8498,72.8498,0.0,0.0006,0,72.8498,about 0,"BTC supplied to Echo Lending on Aptos (ABTC), almost all of it as collateral for loans.",https://defillama.com/protocol/echo-lending
money_market,Curve LlamaLend,curve-llamalend,66.8631,66.8631,0.0,0.0,0,66.8631,about 0,"BTC supplied to Curve LlamaLend on Arbitrum, Ethereum (WBTC, tBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/curve-llamalend
money_market,Dolomite,dolomite,57.7323,57.5105,0.2218,40.4553,0,57.5105,<0.01,"BTC supplied to Dolomite on Arbitrum, Berachain, Ethereum, Mantle (WBTC, WBTC-USDC-GMX-V2, cbBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/dolomite
money_market,MetalX Lending,metalx-lending,56.7607,56.7607,0.0,14.596,0,56.7607,about 0,"BTC supplied to MetalX Lending on Proton (BTC), almost all of it as collateral for loans.",https://defillama.com/protocol/metalx-lending
money_market,Chainflip Lending,chainflip-lending,53.1241,53.1241,0.0,6.3224,0,53.1241,about 0,"BTC supplied to Chainflip Lending on Chainflip (BTC), almost all of it as collateral for loans.",https://defillama.com/protocol/chainflip-lending
money_market,Granite,granite,38.8006,38.8006,0.0,0.0,0,38.8006,about 0,"BTC supplied to Granite on Stacks (sBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/granite
money_market,Hydration Lending,hydration-lending,35.4224,35.4224,0.0,1.1264,0,35.4224,about 0,"BTC supplied to Hydration Lending on HydraDX (tBTC, WBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/hydration-lending
money_market,Fraxlend,fraxlend,35.2684,35.2684,0.0,0.0,0,35.2684,about 0,"BTC supplied to Fraxlend on Arbitrum, Ethereum (WBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/fraxlend
money_market,Morpho Midnight,morpho-midnight,34.6797,34.6797,0.0,0.0,0,34.6797,about 0,"BTC supplied to Morpho Midnight on Base (cbBTC, WBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/morpho-midnight
money_market,Euler V2,euler-v2,141.7551,33.3945,108.3607,83.1961,0,33.3945,about 0,"BTC supplied to Euler V2 on Arbitrum, Avalanche, BOB, Base and others (cbBTC, WBTC, UBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/euler-v2
money_market,Project 0,project-0,29.9396,29.9396,0.0,2.8842,0,29.9396,about 0,"BTC supplied to Project 0 on Solana (WBTC, cbBTC, ZBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/project-0
money_market,Save,save,28.8311,28.8311,0.0,3.7687,0,28.8311,about 0,"BTC supplied to Save on Solana (cbBTC, tBTC, ZBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/save
money_market,marginfi Lending,marginfi-lending,27.0675,27.0675,0.0,2.8842,0,27.0675,about 0,"BTC supplied to marginfi Lending on Solana (WBTC, cbBTC, ZBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/marginfi-lending
money_market,LayerBank,layerbank,24.9089,24.9026,0.0063,5.9947,0,24.9026,about 0,"BTC supplied to LayerBank on Hemi, Move, RSK (WRBTC, WBTC, BTC), almost all of it as collateral for loans.",https://defillama.com/protocol/layerbank
money_market,Moonwell Lending,moonwell-lending,63.1931,20.0756,43.1175,60.7232,0,20.0756,about 0,"BTC supplied to Moonwell Lending on Base, Ethereum (cbBTC, tBTC, WBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/moonwell-lending
money_market,Zest v1,zest-v1,17.8714,17.8714,0.0,0.0043,0,17.8714,about 0,"BTC supplied to Zest v1 on Stacks (sBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/zest-v1
money_market,Folks Finance xChain,folks-finance-xchain,16.0755,16.0755,0.0,0.2368,0,16.0755,about 0,"BTC supplied to Folks Finance xChain on Arbitrum, Avalanche, Base, Binance and others (SolvBTC, BTC.b, WBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/folks-finance-xchain
money_market,Surge Credit,surge-credit,15.8796,15.8796,0.0,0.0,0,15.8796,about 0,"BTC supplied to Surge Credit on Bitcoin (BTC), almost all of it as collateral for loans.",https://defillama.com/protocol/surge-credit
money_market,Liquidium,liquidium,15.5937,15.5937,0.0,0.8019,0,15.5937,about 0,"BTC supplied to Liquidium on ICP (BTC), almost all of it as collateral for loans.",https://defillama.com/protocol/liquidium
money_market,BEND,bend,15.3868,15.3868,0.0,0.0,0,15.3868,about 0,"BTC supplied to BEND on Berachain (WBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/bend
money_market,Scallop Lend,scallop-lend,13.7176,13.7176,0.0,0.5797,0,13.7176,about 0,"BTC supplied to Scallop Lend on Sui (WBTC, xBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/scallop-lend
money_market,Gearbox,gearbox,12.9601,12.9601,0.0,2.4738,0,12.9601,about 0,"BTC supplied to Gearbox on Ethereum, Hemi (WBTC, HEMIBTC, tBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/gearbox
money_market,Kava Lend,kava-lend,12.3957,12.3957,0.0,0.1859,0,12.3957,about 0,"BTC supplied to Kava Lend on Kava (BTCB, WBTC, M-BTC), almost all of it as collateral for loans.",https://defillama.com/protocol/kava-lend
money_market,Current,current,11.6773,11.6766,0.0007,13.7763,0,11.6766,<0.01,"BTC supplied to Current on Sui (WBTC, xBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/current
money_market,Capyfi,capyfi,10.6851,10.6851,0.0,1.7618,0,10.6851,about 0,"BTC supplied to Capyfi on Base, Ethereum, LaChain, Network (WBTC, cbBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/capyfi
money_market,Kinza Finance,kinza-finance,10.4866,10.4608,0.0258,0.3549,0,10.4608,about 0,"BTC supplied to Kinza Finance on Binance, Ethereum (BTCB, SolvBTC, WBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/kinza-finance
money_market,Hatom Lending,hatom-lending,10.1768,10.1768,0.0,2.3813,0,10.1768,about 0,"BTC supplied to Hatom Lending on Elrond (WBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/hatom-lending
money_market,Loopscale,loopscale,12.8193,9.8543,2.965,3.4726,0,9.8543,about 0,"BTC supplied to Loopscale on Solana (ZBTC, cbBTC, xBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/loopscale
money_market,Rhea Lend,rhea-lend,8.6024,8.6024,0.0,5.1697,0,8.6024,about 0,"BTC supplied to Rhea Lend on Near (WBTC, NBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/rhea-lend
money_market,Echelon Market,echelon-market,6.619,6.5974,0.0217,0.0049,0,6.5974,about 0,"BTC supplied to Echelon Market on Aptos, Move (xBTC, WBTC, ABTC), almost all of it as collateral for loans.",https://defillama.com/protocol/echelon-market
money_market,Venus Flux,venus-flux,5.3509,5.3509,0.0,0.134,0,5.3509,about 0,"BTC supplied to Venus Flux on Binance (BTCB), almost all of it as collateral for loans.",https://defillama.com/protocol/venus-flux
money_market,Avalon Finance,avalon-finance,5.8925,2.1682,3.7243,10.7409,0,2.1682,about 0,"BTC supplied to Avalon Finance on Arbitrum, BOB, Base, Binance and others (SolvBTC, WBTC, M-BTC), almost all of it as collateral for loans.",https://defillama.com/protocol/avalon-finance
money_market,ZeroLend Lending,zerolend-lending,1.6758,1.6758,0.0,0.0,0,1.6758,about 0,"BTC supplied to ZeroLend Lending on X, Layer, zkSync, Era (M-BTC, WBTC, HEMIBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/zerolend-lending
money_market,YeiLend,yeilend,2.0938,1.5896,0.5041,2.3197,0,1.5896,about 0,"BTC supplied to YeiLend on Sei (WBTC, SolvBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/yeilend
money_market,TermFinance Lend,termfinance-lend,1.0,1.0,0.0,0.0,0,1.0,about 0,"BTC supplied to TermFinance Lend on Ethereum (cbBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/termfinance-lend
money_market,INIT Capital,init-capital,0.8391,0.8391,0.0,0.0,0,0.8391,about 0,"BTC supplied to INIT Capital on Mantle (FBTC, WBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/init-capital
money_market,HypurrFi Pooled,hypurrfi-pooled,0.7946,0.7946,0.0,0.661,0,0.7946,about 0,"BTC supplied to HypurrFi Pooled on Hyperliquid, L1 (UBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/hypurrfi-pooled
money_market,Silo V2,silo-v2,21.2662,0.6343,20.6319,0.1833,0,0.6343,about 0,"BTC supplied to Silo V2 on Avalanche, Sonic (BTC.b, WBTC, SolvBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/silo-v2
money_market,Venus Isolated Pools,venus-isolated-pools,0.148,0.148,0.0,0.0,0,0.148,about 0,"BTC supplied to Venus Isolated Pools on Binance (BTCB), almost all of it as collateral for loans.",https://defillama.com/protocol/venus-isolated-pools
money_market,Sumer.money,sumer.money,0.1462,0.146,0.0002,0.241,0,0.146,about 0,"BTC supplied to Sumer.money on Arbitrum, Berachain, CORE, Goat (WBTC, BTCB, SolvBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/sumer.money
money_market,Curvance,curvance,0.1441,0.1441,0.0,32.4655,0,0.1441,about 0,"BTC supplied to Curvance on Monad (WBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/curvance
money_market,Flying Tulip Lend,flying-tulip-lend,0.1309,0.1309,0.0,19.754,0,0.1309,about 0,"BTC supplied to Flying Tulip Lend on Ethereum, Sonic (WBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/flying-tulip-lend
money_market,Mendi Finance,mendi-finance,0.1229,0.1229,0.0,0.2655,0,0.1229,about 0,"BTC supplied to Mendi Finance on Linea (WBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/mendi-finance
money_market,TermMax,termmax,0.0005,0.0005,0.0,80.9376,0,0.0005,about 0,"BTC supplied to TermMax on BSquared (WBTC, cbBTC, BTC), almost all of it as collateral for loans.",https://defillama.com/protocol/termmax
money_market,EtherFi Borrowing Market,etherfi-borrowing-market,14.7122,0.0,14.7122,0.0,0,0.0,about 0,"BTC supplied to EtherFi Borrowing Market on Optimism, almost all of it as collateral for loans.",https://defillama.com/protocol/etherfi-borrowing-market
money_market,Ionic Protocol,ionic-protocol,0.0,0.0,0.0,0.0,0,0.0,about 0,"BTC supplied to Ionic Protocol, almost all of it as collateral for loans.",https://defillama.com/protocol/ionic-protocol
cdp,f(x) Protocol,fx-protocol,1287.6028,1287.6015,0.0013,0.0,0,1287.6015,0 (collateral for a stablecoin),BTC posted to f(x) Protocol on Ethereum to mint a stablecoin; it earns nothing (WBTC).,https://defillama.com/protocol/fx-protocol
cdp,crvUSD / LlamaLend,crvusd,929.861,929.861,0.0,0.0,0,929.861,0 (collateral for a stablecoin),"BTC posted to crvUSD / LlamaLend on Ethereum to mint a stablecoin; it earns nothing (WBTC, cbBTC, tBTC).",https://defillama.com/protocol/crvusd
cdp,Frankencoin,frankencoin,360.2778,360.2778,0.0,0.0,0,360.2778,0 (collateral for a stablecoin),"BTC posted to Frankencoin on Ethereum to mint a stablecoin; it earns nothing (cbBTC, WBTC).",https://defillama.com/protocol/frankencoin
cdp,Sky (Maker),sky-lending,339.3413,339.3413,0.0,0.0,0,339.3413,0 (collateral for a stablecoin),"BTC posted to Sky (Maker) on Ethereum to mint a stablecoin; it earns nothing (WBTC, RENBTC).",https://defillama.com/protocol/sky-lending
cdp,Money on Chain,moneyonchain,271.7509,271.7509,0.0,0.0,0,271.7509,0 (collateral for a stablecoin),BTC posted to Money on Chain on RSK to mint a stablecoin; it earns nothing (RBTC).,https://defillama.com/protocol/moneyonchain
cdp,Sovryn Zero,sovryn-zero,249.6204,249.6204,0.0,0.0,0,249.6204,0 (collateral for a stablecoin),BTC posted to Sovryn Zero on RSK to mint a stablecoin; it earns nothing (RBTC).,https://defillama.com/protocol/sovryn-zero
cdp,River Omni-CDP (satUSD),river-omni-cdp,1245.4199,248.6487,996.7712,0.0,0,248.6487,0 (collateral for a stablecoin),"BTC posted to River Omni-CDP (satUSD) on BOB, BSquared, Base, Binance and others to mint a stablecoin; it earns nothing (UBTC, WBTC, HEMIBTC).",https://defillama.com/protocol/river-omni-cdp
cdp,BIMA CDP,bima-cdp,125.8089,125.8089,0.0,0.0,0,125.8089,0 (collateral for a stablecoin),"BTC posted to BIMA CDP on Bitcoin, Ethereum, Hemi to mint a stablecoin; it earns nothing (BTC, WBTC, HEMIBTC).",https://defillama.com/protocol/bima-cdp
cdp,BTCFi CDP,btcfi-cdp,92.3324,92.3324,0.0,0.0,0,92.3324,0 (collateral for a stablecoin),"BTC posted to BTCFi CDP on Base, Bifrost, Network, Bitcoin to mint a stablecoin; it earns nothing (BTC, BTC.b, cbBTC).",https://defillama.com/protocol/btcfi-cdp
cdp,Kava Mint,kava-mint,62.3657,62.3657,0.0,0.0,0,62.3657,0 (collateral for a stablecoin),BTC posted to Kava Mint on Kava to mint a stablecoin; it earns nothing (BTCB).,https://defillama.com/protocol/kava-mint
cdp,Bucket,bucket-cdp,57.6277,57.6102,0.0175,0.0,0,57.6102,0 (collateral for a stablecoin),"BTC posted to Bucket on Sui to mint a stablecoin; it earns nothing (WBTC, tBTC).",https://defillama.com/protocol/bucket-cdp
cdp,Mezo Borrow,mezo-borrow,36.3585,36.3585,0.0,0.0,0,36.3585,0 (collateral for a stablecoin),BTC posted to Mezo Borrow on Mezo to mint a stablecoin; it earns nothing (BTC).,https://defillama.com/protocol/mezo-borrow
cdp,Hylo,hylo-protocol,34.4176,34.4176,0.0,0.0,0,34.4176,0 (collateral for a stablecoin),BTC posted to Hylo on Solana to mint a stablecoin; it earns nothing (cbBTC).,https://defillama.com/protocol/hylo-protocol
cdp,Yala,yala,28.9753,28.9753,0.0,0.0,0,28.9753,0 (collateral for a stablecoin),BTC posted to Yala on Bitcoin to mint a stablecoin; it earns nothing (BTC).,https://defillama.com/protocol/yala
cdp,Threshold thUSD,threshold-thusd,26.7641,26.7641,0.0,0.0,0,26.7641,0 (collateral for a stablecoin),BTC posted to Threshold thUSD on Ethereum to mint a stablecoin; it earns nothing (tBTC).,https://defillama.com/protocol/threshold-thusd
cdp,Lista CDP,lista-cdp,25.7822,25.7822,0.0,0.0,0,25.7822,0 (collateral for a stablecoin),"BTC posted to Lista CDP on Binance to mint a stablecoin; it earns nothing (BTCB, SolvBTC).",https://defillama.com/protocol/lista-cdp
cdp,Felix CDP,felix-cdp,23.1195,23.1195,0.0,0.0,0,23.1195,0 (collateral for a stablecoin),"BTC posted to Felix CDP on Hyperliquid, L1 to mint a stablecoin; it earns nothing (FEUBTC).",https://defillama.com/protocol/felix-cdp
cdp,Abracadabra,abracadabra-spell,21.0675,21.0675,0.0,0.0,0,21.0675,0 (collateral for a stablecoin),"BTC posted to Abracadabra on Arbitrum, Ethereum to mint a stablecoin; it earns nothing (WBTC, WBTC-USDC-GMX-V2).",https://defillama.com/protocol/abracadabra-spell
cdp,Inverse FiRM,inverse-finance-firm,9.0668,9.0668,0.0,0.0,0,9.0668,0 (collateral for a stablecoin),"BTC posted to Inverse FiRM on Ethereum to mint a stablecoin; it earns nothing (WBTC, cbBTC).",https://defillama.com/protocol/inverse-finance-firm
cdp,Angle,angle,5.751,5.751,0.0,0.0,0,5.751,0 (collateral for a stablecoin),"BTC posted to Angle on Arbitrum, Ethereum, Polygon to mint a stablecoin; it earns nothing (WBTC).",https://defillama.com/protocol/angle
cdp,Bucket v2,bucket-protocol-v2,5.6549,5.6549,0.0,0.0,0,5.6549,0 (collateral for a stablecoin),BTC posted to Bucket v2 on Sui to mint a stablecoin; it earns nothing (WBTC).,https://defillama.com/protocol/bucket-protocol-v2
cdp,bitSmiley,bitsmiley,0.1286,0.1286,0.0,0.0,0,0.1286,0 (collateral for a stablecoin),BTC posted to bitSmiley on Bitlayer to mint a stablecoin; it earns nothing (WBTC).,https://defillama.com/protocol/bitsmiley
cdp,Beraborrow,beraborrow,0.1746,0.0595,0.1152,0.0,0,0.0595,0 (collateral for a stablecoin),"BTC posted to Beraborrow on Berachain to mint a stablecoin; it earns nothing (WBTC, SolvBTC, sBTC).",https://defillama.com/protocol/beraborrow
cdp,Nerite,nerite,0.0264,0.0264,0.0,0.0,0,0.0264,0 (collateral for a stablecoin),BTC posted to Nerite on Arbitrum to mint a stablecoin; it earns nothing (tBTC).,https://defillama.com/protocol/nerite
cdp,Bitzap yUSD,bitzap-yusd,0.0006,0.0006,0.0,0.0,0,0.0006,0 (collateral for a stablecoin),BTC posted to Bitzap yUSD to mint a stablecoin; it earns nothing (WBTC).,https://defillama.com/protocol/bitzap-yusd
cdp,Avalon USDa CDP,avalon-usda,0.0,0.0,0.0,0.0,0,0.0,0 (collateral for a stablecoin),BTC posted to Avalon USDa CDP to mint a stablecoin; it earns nothing.,https://defillama.com/protocol/avalon-usda
cdp,BitU,bitu-protocol,0.0,0.0,0.0,0.0,0,0.0,0 (collateral for a stablecoin),BTC posted to BitU to mint a stablecoin; it earns nothing.,https://defillama.com/protocol/bitu-protocol
